event_id,start_time,asset_name,timestamps (in ms),Vab,Vbc,Vca,Ia,Ib,Ic,asset_name,datetime
,,,0.018364157,5931.352051,-9806.422852,3872.169678,270.4328003,-260.6630249,-66.11219788,Site0006,10/18/2005 23:07:40.5540
,,,0.018494399,6229.784668,-9744.43457,3400.559082,275.3497314,-249.6490784,-84.47669983,Site0006,10/18/2005 23:07:40.5540
,,,0.018624641,6565.521484,-9632.857422,2854.483887,277.8082275,-234.9638367,-101.6169052,Site0006,10/18/2005 23:07:40.5540
,,,0.018754883,6876.38916,-9533.677734,2345.641113,280.2666931,-219.0548401,-116.3085022,Site0006,10/18/2005 23:07:40.5540
,,,0.018885126,7224.560547,-9422.099609,1799.56604,283.9544373,-203.1458282,-132.2243958,Site0006,10/18/2005 23:07:40.5540
,,,0.019015368,7498.124023,-9298.125,1290.723145,287.6421509,-188.4605865,-143.243103,Site0006,10/18/2005 23:07:40.5540
,,,0.01914561,7784.12207,-9099.764648,781.8803711,290.1006165,-172.5515747,-154.2618103,Site0006,10/18/2005 23:07:40.5540
,,,0.019275852,8057.685547,-8901.405273,285.4483948,291.3298645,-155.4187927,-162.8319092,Site0006,10/18/2005 23:07:40.5540
,,,0.019406095,8318.814453,-8665.852539,-186.1620026,290.1006165,-140.733551,-171.4020081,Site0006,10/18/2005 23:07:40.5540
,,,0.019536337,8542.638672,-8417.902344,-695.0048218,288.8713989,-122.3769989,-177.5234985,Site0006,10/18/2005 23:07:40.5540
,,,0.019666579,8816.202148,-8157.555176,-1179.026001,286.4129028,-105.2442245,-184.8693085,Site0006,10/18/2005 23:07:40.5540
,,,0.019796821,9040.027344,-7897.20752,-1675.458008,282.7251892,-86.88767242,-192.2151031,Site0006,10/18/2005 23:07:40.5540
,,,0.019927064,9226.547852,-7574.872559,-2109.835938,277.8082275,-70.97866058,-195.8880005,Site0006,10/18/2005 23:07:40.5540
,,,0.020057306,9400.632813,-7252.537598,-2569.035645,272.8912659,-52.62211227,-200.785202,Site0006,10/18/2005 23:07:40.5540
,,,0.020187548,9549.849609,-6880.612305,-3028.235107,265.5158386,-35.48933029,-206.9067078,Site0006,10/18/2005 23:07:40.5540
,,,0.02031779,9711.500977,-6533.482422,-3475.023926,256.9111328,-17.13278008,-214.2525024,Site0006,10/18/2005 23:07:40.5540
,,,0.020448033,9773.673828,-6173.955078,-3872.169678,248.3064728,0,-219.149704,Site0006,10/18/2005 23:07:40.5540
,,,0.020578275,9848.282227,-5826.825195,-4269.31543,242.1602631,15.90900993,-225.2712097,Site0006,10/18/2005 23:07:40.5540
,,,0.020708517,9873.151367,-5430.10498,-4703.693359,232.326355,30.59424973,-231.3927002,Site0006,10/18/2005 23:07:40.5540
,,,0.020838759,9860.716797,-4996.192383,-5113.249512,224.9509125,47.72703171,-237.5142059,Site0006,10/18/2005 23:07:40.5540
,,,0.020969002,9848.282227,-4549.882324,-5510.39502,217.57547,64.85980988,-244.8600006,Site0006,10/18/2005 23:07:40.5540
,,,0.021099244,9835.847656,-4128.367676,-5882.719238,208.9707947,83.216362,-252.2058105,Site0006,10/18/2005 23:07:40.5540
,,,0.021229486,9773.673828,-3620.070068,-6217.810547,200.3661041,96.67783356,-259.5516052,Site0006,10/18/2005 23:07:40.5540
,,,0.021359728,9711.500977,-3186.157471,-6503.259277,190.532196,112.5868454,-265.6730957,Site0006,10/18/2005 23:07:40.5540
,,,0.021489971,9612.023438,-2665.462402,-6825.939941,180.6982727,126.0483093,-270.5703125,Site0006,10/18/2005 23:07:40.5540
,,,0.021620213,9487.675781,-2169.5625,-7173.442383,169.6351166,139.5097809,-277.9161072,Site0006,10/18/2005 23:07:40.5540
,,,0.021750455,9350.894531,-1636.469971,-7483.712402,157.3427124,152.9712524,-285.2619019,Site0006,10/18/2005 23:07:40.5540
,,,0.021880697,9201.677734,-1165.36499,-7769.160645,145.0503082,163.9851837,-291.3833923,Site0006,10/18/2005 23:07:40.5540
,,,0.02201094,9002.722656,-681.8624878,-8017.376953,131.5286713,173.7753448,-296.2806091,Site0006,10/18/2005 23:07:40.5540
,,,0.022141182,8766.463867,-173.5650024,-8290.414063,118.0070343,184.7892761,-298.7292175,Site0006,10/18/2005 23:07:40.5540
,,,0.022271424,8517.769531,334.7325134,-8538.630859,102.0269165,194.5794373,-299.9535217,Site0006,10/18/2005 23:07:40.5540
,,,0.022401666,8281.509766,818.2349854,-8799.256836,86.04679871,205.5933685,-302.4020996,Site0006,10/18/2005 23:07:40.5540
,,,0.022531909,8032.816406,1301.737549,-9035.0625,68.83743286,216.6072998,-302.4020996,Site0006,10/18/2005 23:07:40.5540
,,,0.022662151,7721.94873,1760.444946,-9221.224609,52.85731888,225.1736908,-301.1777954,Site0006,10/18/2005 23:07:40.5540
,,,0.022792393,7411.081055,2206.755127,-9382.564453,35.64795685,234.9638367,-297.5049133,Site0006,10/18/2005 23:07:40.5540
,,,0.022922635,7062.909668,2677.860107,-9543.905273,18.43859863,242.3064575,-295.0563049,Site0006,10/18/2005 23:07:40.5540
,,,0.023052878,6664.999023,3099.375,-9692.834961,2.458479881,252.0966187,-290.1591187,Site0006,10/18/2005 23:07:40.5540
,,,0.02318312,6329.262207,3570.47998,-9792.121094,-13.52163887,261.8867798,-285.2619019,Site0006,10/18/2005 23:07:40.5540
,,,0.023313362,5968.65625,3979.597412,-9866.585938,-28.27251816,270.453186,-280.3647156,Site0006,10/18/2005 23:07:40.5540
,,,0.023443604,5570.745605,4388.714844,-9878.99707,-43.02339935,276.5720215,-274.2431946,Site0006,10/18/2005 23:07:40.5540
